,categories,customer_rating,duration,id,level,marker,name,name_suffix,original_name,parent_ids,perex,quadkey,rating,rating_local,star_rating,star_rating_unofficial,thumbnail_url,url,lat,lng,sleeping,sightseeing,relaxing,discovering,going_out,eating,doing_sports,shopping,hiking,traveling,playing,south,west,north,east
0,['sightseeing'],,1800,poi:11878,poi,other:square,Times Square,"New York City, USA",Times Square,"['poi:32280039', 'poi:28010161', 'region:1981637', 'poi:28043160', 'region:46071', 'city:186', 'region:106', 'country:43', 'continent:6']",Times Square (nicknamed “The Crossroads of the World”) is the best known square in New York City and also its beating heart.,032010110132021303212,7.2984454676515,2.927300876913066,,,https://media-cdn.sygictraveldata.com/media/poi:11878,https://go.sygic.com/travel/place?id=poi:11878,40.757951,-73.9856027,0,1,0,0,0,0,0,0,0,0,0,,,,
1,['sightseeing'],,5400,poi:11874,poi,sightseeing:architecture:modern,Empire State Building,"New York City, USA",Empire State Building,"['poi:32108808', 'poi:28010161', 'region:1981637', 'poi:28043160', 'region:46071', 'city:186', 'region:106', 'country:43', 'continent:6']","An iconic Art Deco skyscraper and one of the best known buildings in New York. It got its name from the city’s nickname the ""Empire State"".",032010110132023321230,5.2753153381626,2.3780171187144403,,,https://media-cdn.sygictraveldata.com/media/poi:11874,https://go.sygic.com/travel/place?id=poi:11874,40.7484312,-73.9856567,0,1,0,0,0,0,0,0,0,0,0,40.7479226,-73.9864855,40.7489422,-73.9848259
2,"['sightseeing', 'doing_sports']",,5400,poi:11877,poi,sightseeing:architecture:modern,Rockefeller Center,"New York City, USA",Rockefeller Center,"['poi:28010161', 'region:1981637', 'poi:28043160', 'region:46071', 'city:186', 'region:106', 'country:43', 'continent:6']",The complex of Art Deco high-rise buildings located in the heart of Manhattan opened in 1939.,032010110132030210220,4.9383703682536,2.3010277213752044,,,https://media-cdn.sygictraveldata.com/media/poi:11877,https://go.sygic.com/travel/place?id=poi:11877,40.7589046,-73.9790427,0,1,0,0,0,0,1,0,0,0,0,40.7572839,-73.9813411,40.7605248,-73.9767441
3,"['discovering', 'sightseeing', 'relaxing']",,7200,poi:11880,poi,discovering:museum,National September 11 Memorial & Museum,"New York City, USA",National September 11 Memorial & Museum,"['poi:28033300', 'poi:28333785', 'region:1981637', 'poi:28043160', 'region:46071', 'city:186', 'region:106', 'country:43', 'continent:6']","The memorial commemorates the victims of the September 11, 2001 terrorist attacks.",032010110301111021021,4.9160510365358,2.796502614618969,,,https://media-cdn.sygictraveldata.com/media/poi:11880,https://go.sygic.com/travel/place?id=poi:11880,40.7115361,-74.0132647,0,1,1,1,0,0,0,0,0,0,0,40.7101913,-74.0143746,40.7128447,-74.0120606
4,['sightseeing'],,1800,poi:11871,poi,other:building:bridge:suspension,Brooklyn Bridge,"New York City, USA",Brooklyn Bridge,"['city:186', 'region:106', 'country:43', 'continent:6']","This bridge, connecting Manhattan and Brooklyn, is definitely one of New York’s most iconic sights.",032010110310000323200,4.3657337792705,2.4549752401129257,,,https://media-cdn.sygictraveldata.com/media/poi:11871,https://go.sygic.com/travel/place?id=poi:11871,40.7061251,-73.9968983,0,1,0,0,0,0,0,0,0,0,0,40.7002416,-74.0043634,40.7120714,-73.9893593
5,"['sightseeing', 'discovering', 'hiking']",,14400,poi:12025,poi,hiking:park:national,Statue of Liberty,"New York City, USA",Statue of Liberty,"['poi:29826280', 'poi:28333785', 'region:46071', 'city:186', 'region:106', 'country:43', 'continent:6']","This is New York in one sight. The iconic, majestic statue looks over the city from Ellis Island.",032010110301120232213,4.340589922979,3.350558843781375,,,https://media-cdn.sygictraveldata.com/media/poi:12025,https://go.sygic.com/travel/place?id=poi:12025,40.689245,-74.0445392,0,1,0,1,0,0,0,0,1,0,0,40.6888016,-74.0451031,40.6896737,-74.0439638
6,"['sightseeing', 'traveling']",,5400,poi:11922,poi,sightseeing:architecture:modern,Grand Central Terminal,"New York City, USA",Grand Central Terminal,"['poi:28039457', 'poi:28010161', 'region:1981637', 'poi:28043160', 'region:46071', 'city:186', 'region:106', 'country:43', 'continent:6']",A Beaux-Arts railroad terminal in New York City. There are 44 platforms (no other railway terminal in the world has this many) and 67 tracks.,032010110132032031231,4.33458926523,1.9715890009663588,,,https://media-cdn.sygictraveldata.com/media/poi:11922,https://go.sygic.com/travel/place?id=poi:11922,40.7526486,-73.9772747,0,1,0,0,0,0,0,0,0,1,0,40.7519727,-73.978187,40.7533137,-73.9763717
7,"['shopping', 'sightseeing']",,7200,poi:11870,poi,shopping:street,5th Avenue,"New York City, USA",5th Avenue,"['city:10716', 'region:1981637', 'region:46071', 'city:186', 'region:106', 'country:43']",Perhaps the most iconic avenue in the world. Browse the super-expensive shops and breathe in the atmosphere of the Big Apple.,032010110132011232330,3.5159343222592,1.749793741543791,,,https://media-cdn.sygictraveldata.com/media/poi:11870,https://go.sygic.com/travel/place?id=poi:11870,40.772466,-73.967021,0,1,0,0,0,0,0,1,0,0,0,,,,
8,"['sightseeing', 'eating', 'shopping']",,3600,poi:11926,poi,eating:restaurant:asian:chinese,Chinatown,"New York City, USA",Chinatown,"['poi:17615946', 'region:1981637', 'poi:28043160', 'region:46071', 'city:186', 'region:106', 'country:43', 'continent:6']",It is estimated that nearly a hundred thousand people live in New York Chinatown which makes it the largest Chinese enclave in New York…,032010110132222231133,3.178401690162,1.467023862639415,,,https://media-cdn.sygictraveldata.com/media/poi:11926,https://go.sygic.com/travel/place?id=poi:11926,40.7156256,-73.9984718,0,1,0,0,0,1,0,1,0,0,0,,,,
9,['sightseeing'],,900,poi:34978,poi,sightseeing:art:artwork,Charging Bull,"New York City, USA",Charging Bull,"['poi:50192', 'poi:28033300', 'poi:28333785', 'region:1981637', 'poi:28043160', 'region:46071', 'city:186', 'region:106', 'country:43', 'continent:6']",Charging Bull (or Wall Street Bull or Bowling Green Bull) is a sculpture in bronze by Italian-American artist Arturo Di Modica.,032010110301113001002,2.696512360819,1.4593014722706084,,,https://media-cdn.sygictraveldata.com/media/poi:34978,https://go.sygic.com/travel/place?id=poi:34978,40.7054679,-74.0134789,0,1,0,0,0,0,0,0,0,0,0,,,,
