countrycode,HKG,SGP,THA,GBR,MAC,MYS,CHN,USA,TUR,FRA,TUR,ITA,ARE,CHN,THA,SAU,THA,TWN,CZE,CHN,USA,USA,ESP,RUS,CHN,USA,HUN,AUT,NLD,BGR,ESP,USA,VNM,PER,DEU,JPN,POL,IND,EGY,CHN,ITA,USA,ARG,ITA,ITA,MEX,IRL,KOR,TUR,IND,IDN,IND,CAN,CHN,RUS,BGR,AUS,TUN,DEU,ZAF,MEX,TUR,CHN,ROU,DOM,IND,IND,BEL,FRA,THA,EGY,PRT,SAU,MAR,IDN,BHR,VNM,USA,PHL,CHN,NZL,KHM,TUN,JOR,CAN,ARE,UKR,QAT,ITA,BRA,AUS,USA,SAU,NZL,DEU,AZE,BRA,ZWE,IND,CHN
1,41.20723271,217.6304389,30.00717904,109.5195931,41.20723271,222.0640645,27.88216755,71.96002153,75.31042168,94.50883662,75.31042168,66.93288801,3.422440178,27.88216755,30.00717904,3.652616775,30.00717904,90.25805568,71.48281194,27.88216755,71.96002153,71.96002153,65.85778264,29.61824146,27.88216755,71.96002153,66.07466891,76.27136543,97.39580947,64.25473284,65.85778264,71.96002153,46.39951852,195.4396237,88.69163196,112.3115714,66.80522252,24.95737855,6.744241042,27.88216755,66.93288801,71.96002153,82.56786995,66.93288801,66.93288801,49.55952149,124.5842335,61.72587232,75.31042168,24.95737855,300.8003757,24.95737855,41.6479824,27.88216755,29.61824146,64.25473284,93.20491018,22.45488655,88.69163196,94.83434566,49.55952149,75.31042168,27.88216755,61.62271209,46.6687843,24.95737855,24.95737855,97.8513046,94.50883662,30.00717904,6.744241042,91.62197784,3.652616775,16.18951099,300.8003757,6.386858489,46.39951852,71.96002153,165.0798262,27.88216755,97.19660582,34.94303635,22.45488655,11.44138776,41.6479824,3.422440178,60.12676888,5.176576019,66.93288801,174.1157469,93.20491018,71.96002153,3.652616775,97.19660582,88.69163196,47.6980836,174.1157469,185.0471272,24.95737855,27.88216755
2,36.590948,138.7485438,27.30763563,88.69540961,36.590948,167.0843852,33.62674078,64.10358772,60.18706784,76.34434777,60.18706784,54.04736522,2.116503194,33.62674078,27.30763563,2.409779516,27.30763563,74.17462492,60.99069595,33.62674078,64.10358772,64.10358772,51.83170198,25.69987501,33.62674078,64.10358772,55.92119867,64.7104555,77.70039342,53.25227232,51.83170198,64.10358772,35.88211329,195.1231912,73.26638592,101.6767987,56.26946486,19.47269649,4.603908374,33.62674078,54.04736522,64.10358772,74.87318102,54.04736522,54.04736522,37.61803986,100.2298081,64.18046749,60.18706784,19.47269649,252.9242149,19.47269649,35.67908384,33.62674078,25.69987501,53.25227232,89.50619529,18.2522313,73.26638592,83.57037847,37.61803986,60.18706784,33.62674078,51.58794852,38.66637779,19.47269649,19.47269649,78.9109135,76.34434777,27.30763563,4.603908374,70.96136751,2.409779516,13.77638707,252.9242149,3.678301628,35.88211329,64.10358772,125.5053528,33.62674078,90.09576665,28.53839384,18.2522313,9.383780452,35.67908384,2.116503194,48.8809858,3.048854671,54.04736522,162.9437927,89.50619529,64.10358772,2.409779516,90.09576665,73.26638592,44.90924869,162.9437927,145.7567105,19.47269649,33.62674078
3,43.52418344,143.3244704,47.53578121,81.09341522,43.52418344,183.1728996,54.36244839,70.49342082,58.20887005,75.75307365,58.20887005,55.45016169,3.409990417,54.36244839,47.53578121,3.429343251,47.53578121,75.66473521,68.14398649,54.36244839,70.49342082,70.49342082,50.14119726,30.52694099,54.36244839,70.49342082,64.6781534,74.34674714,71.56568284,58.79060826,50.14119726,70.49342082,46.16582309,233.7980096,73.9199781,118.6223619,59.0431828,27.57289333,3.679227445,54.36244839,55.45016169,70.49342082,74.19229612,55.45016169,55.45016169,32.20528759,90.1128482,95.79894977,58.20887005,27.57289333,255.5840118,27.57289333,39.91956691,54.36244839,30.52694099,58.79060826,79.02368274,18.46872787,73.9199781,74.99704861,32.20528759,58.20887005,54.36244839,58.77175761,37.39634688,27.57289333,27.57289333,74.71070157,75.75307365,47.53578121,3.679227445,63.34961177,3.429343251,13.77669865,255.5840118,5.455618698,46.16582309,70.49342082,125.8734357,54.36244839,97.86807803,46.85186926,18.46872787,7.809143849,39.91956691,3.409990417,51.39373319,4.690498076,55.45016169,175.7815174,79.02368274,70.49342082,3.429343251,97.86807803,73.9199781,55.50914465,175.7815174,93.24608225,27.57289333,54.36244839
4,60.49375755,170.7126184,89.88889364,68.33115289,60.49375755,192.0870988,74.2329484,69.17066116,49.64455528,70.73288936,49.64455528,49.64016702,4.143739115,74.2329484,89.88889364,5.637891822,89.88889364,88.84066749,71.29286412,74.2329484,69.17066116,69.17066116,42.69218956,35.54232262,74.2329484,69.17066116,70.82098745,80.17433654,61.08834465,57.85109341,42.69218956,69.17066116,76.11724338,172.2670538,70.11851853,122.0454732,57.55315102,39.1216033,3.822022131,74.2329484,49.64016702,69.17066116,62.23673471,49.64016702,49.64016702,33.26718566,76.40500067,117.3000951,49.64455528,39.1216033,238.3258421,39.1216033,41.73063758,74.2329484,35.54232262,57.85109341,46.13856073,14.40524212,70.11851853,54.6095211,33.26718566,49.64455528,74.2329484,61.34696533,38.63067075,39.1216033,39.1216033,67.59375445,70.73288936,89.88889364,3.822022131,47.03029443,5.637891822,10.77166574,238.3258421,6.573797357,76.11724338,69.17066116,133.8580485,74.2329484,100.9061448,96.67798565,14.40524212,7.386612356,41.73063758,4.143739115,49.36550392,5.677146918,49.64016702,136.3002604,46.13856073,69.17066116,5.637891822,100.9061448,70.11851853,60.12168438,136.3002604,34.66971111,39.1216033,74.2329484
5,119.0675669,191.1804684,181.0220645,62.23068021,119.0675669,209.5459979,98.43234305,72.33905793,46.41270151,68.36488471,46.41270151,44.37415644,6.091962092,98.43234305,181.0220645,7.158372982,181.0220645,141.5447616,84.0003458,98.43234305,72.33905793,72.33905793,35.17273587,47.29497654,98.43234305,72.33905793,83.19281455,91.94043007,59.1911042,58.77137295,35.17273587,72.33905793,161.4096367,88.58241607,76.89152773,137.1576878,68.66799031,65.81288042,4.112711342,98.43234305,44.37415644,72.33905793,57.67101618,44.37415644,44.37415644,56.11037987,67.44774512,115.273276,46.41270151,65.81288042,235.3562597,65.81288042,50.68490705,98.43234305,47.29497654,58.77137295,36.41782053,12.24123041,76.89152773,35.89080193,56.11037987,46.41270151,98.43234305,69.00930673,60.2165612,65.81288042,65.81288042,67.65821911,68.36488471,181.0220645,4.112711342,32.89703849,7.158372982,9.633300192,235.3562597,5.637177381,161.4096367,72.33905793,191.2625744,98.43234305,112.0321356,196.8480141,12.24123041,6.562765575,50.68490705,6.091962092,57.40482362,5.318075793,44.37415644,92.27383274,36.41782053,72.33905793,7.158372982,112.0321356,76.89152773,60.81058814,92.27383274,14.53780554,65.81288042,98.43234305
6,177.6216551,174.9933496,242.5479876,53.77423941,177.6216551,200.8568965,112.0651006,69.62920218,33.40846539,60.86680679,33.40846539,38.83939731,4.552049564,112.0651006,242.5479876,5.046741356,242.5479876,196.3386998,89.5969742,112.0651006,69.62920218,69.62920218,27.24294528,56.83716203,112.0651006,69.62920218,86.22184709,95.20840781,55.55348261,54.33851244,27.24294528,69.62920218,219.2346119,43.2309611,78.03098225,155.0097736,73.33651574,127.3811515,1.918068147,112.0651006,38.83939731,69.62920218,54.03853173,38.83939731,38.83939731,81.79529081,57.20318896,114.9779237,33.40846539,127.3811515,194.9061052,127.3811515,58.12872966,112.0651006,56.83716203,54.33851244,34.07120612,10.93540539,78.03098225,27.03987532,81.79529081,33.40846539,112.0651006,70.7243683,65.15461902,127.3811515,127.3811515,62.82504568,60.86680679,242.5479876,1.918068147,23.0442958,5.046741356,11.40002439,194.9061052,1.956141846,219.2346119,69.62920218,261.5518162,112.0651006,114.4454581,246.3572855,10.93540539,2.51718193,58.12872966,4.552049564,59.8284057,2.243491777,38.83939731,52.61955023,34.07120612,69.62920218,5.046741356,114.4454581,78.03098225,41.11328443,52.61955023,9.079079425,127.3811515,112.0651006
7,213.5732118,199.2009787,248.7042048,58.39777064,213.5732118,212.5249182,124.4440077,71.2487913,19.15058754,54.18054037,19.15058754,31.80893747,10.58515608,124.4440077,248.7042048,11.4832719,248.7042048,220.2558257,87.67430993,124.4440077,71.2487913,71.2487913,21.06576989,63.5165102,124.4440077,71.2487913,77.25720179,89.67650688,58.62406266,39.09235504,21.06576989,71.2487913,226.1931369,32.54343465,78.44310562,154.739365,70.7640769,191.0738249,1.638558867,124.4440077,31.80893747,71.2487913,52.4472672,31.80893747,31.80893747,93.30824457,62.92317317,124.6195939,19.15058754,191.0738249,186.6323939,191.0738249,63.37156962,124.4440077,63.5165102,39.09235504,29.45221768,6.551467189,78.44310562,27.51297328,93.30824457,19.15058754,124.4440077,57.19357511,64.40501675,191.0738249,191.0738249,63.08814722,54.18054037,248.7042048,1.638558867,18.66543161,11.4832719,10.7744148,186.6323939,3.474638454,226.1931369,71.2487913,289.7553334,124.4440077,117.2843407,245.8283261,6.551467189,1.554119728,63.37156962,10.58515608,46.6593931,4.535360085,31.80893747,33.83200504,29.45221768,71.2487913,11.4832719,117.2843407,78.44310562,20.11203251,33.83200504,11.2218298,191.0738249,124.4440077
8,203.8767633,245.8384683,257.4804348,66.66745258,203.8767633,242.3891716,110.4764183,71.07132078,15.39577566,52.21157005,15.39577566,32.31211351,11.84603288,110.4764183,257.4804348,16.64152359,257.4804348,212.0436197,74.52226572,110.4764183,71.07132078,71.07132078,21.90559847,59.82500903,110.4764183,71.07132078,61.2634017,76.60290028,63.11977081,27.57872329,21.90559847,71.07132078,229.49562,49.49229126,73.20137937,151.3295954,62.56241879,189.6375909,3.719902943,110.4764183,32.31211351,71.07132078,48.22652757,32.31211351,32.31211351,105.7026897,73.37041267,107.16525,15.39577566,189.6375909,194.5123934,189.6375909,62.76712054,110.4764183,59.82500903,27.57872329,26.02800902,8.854117088,73.20137937,26.23167725,105.7026897,15.39577566,110.4764183,41.77684934,76.88012705,189.6375909,189.6375909,62.15323087,52.21157005,257.4804348,3.719902943,19.80936378,16.64152359,12.31209134,194.5123934,4.488974874,229.49562,71.07132078,271.7959598,110.4764183,111.8046249,263.5444446,8.854117088,3.374497239,62.76712054,11.84603288,35.47288091,5.985461811,32.31211351,30.54415692,26.02800902,71.07132078,16.64152359,111.8046249,73.20137937,16.50128845,30.54415692,12.08084138,189.6375909,110.4764183
9,139.334043,267.8159169,234.355244,80.1460468,139.334043,263.2319892,73.87392207,72.59129306,23.51227876,61.08181732,23.51227876,49.53121796,7.718378741,73.87392207,234.355244,10.43803616,234.355244,171.4204479,63.1978795,73.87392207,72.59129306,72.59129306,30.66492873,52.85203954,73.87392207,72.59129306,56.53717447,70.60928188,69.84570669,36.76869602,30.66492873,72.59129306,206.4001324,101.643326,68.57224376,138.3233113,56.37741029,148.7903252,3.653380854,73.87392207,49.53121796,72.59129306,48.3990618,49.53121796,49.53121796,119.5057717,89.02137663,67.96610631,23.51227876,148.7903252,188.191294,148.7903252,60.32216794,73.87392207,52.85203954,36.76869602,24.20004744,19.80642981,68.57224376,31.36694747,119.5057717,23.51227876,73.87392207,43.2332035,92.4477513,148.7903252,148.7903252,64.10486044,61.08181732,234.355244,3.653380854,29.33539654,10.43803616,14.3344072,188.191294,3.769328312,206.4001324,72.59129306,272.1007589,73.87392207,102.4900331,287.534784,19.80642981,3.339106494,60.32216794,7.718378741,36.9084092,4.481768845,49.53121796,42.9776654,24.20004744,72.59129306,10.43803616,102.4900331,68.57224376,27.93280204,42.9776654,13.47212033,148.7903252,73.87392207
10,91.53467157,298.2180254,136.6391433,105.3456334,91.53467157,277.3998111,47.71826078,74.79308026,42.80775485,84.12495262,42.80775485,73.63933189,6.059276895,47.71826078,136.6391433,10.17362224,136.6391433,133.5114862,70.28879208,47.71826078,74.79308026,74.79308026,47.73811281,48.3030291,47.71826078,74.79308026,67.69653019,82.68775438,92.77643036,55.54124266,47.73811281,74.79308026,143.5927133,153.8086923,82.58604714,108.6386413,63.91849225,93.81713552,4.54600497,47.71826078,73.63933189,74.79308026,57.24553784,73.63933189,73.63933189,95.94493755,120.2423804,51.16427927,42.80775485,93.81713552,203.802953,93.81713552,60.23922008,47.71826078,48.3030291,55.54124266,28.59946411,27.31472854,82.58604714,52.94413402,95.94493755,42.80775485,47.71826078,54.93686196,110.0702754,93.81713552,93.81713552,85.97278629,84.12495262,136.6391433,4.54600497,55.19386326,10.17362224,13.34752934,203.802953,7.187650453,143.5927133,74.79308026,247.6728602,47.71826078,96.88637448,181.4909517,27.31472854,7.000990374,60.23922008,6.059276895,48.53843917,6.184489306,73.63933189,83.10029405,28.59946411,74.79308026,10.17362224,96.88637448,82.58604714,45.96992061,83.10029405,41.13005129,93.81713552,47.71826078
