countrycode,HKG,SGP,THA,GBR,MAC,MYS,CHN,USA,TUR,FRA,TUR,ITA,ARE,CHN,THA,SAU,THA,TWN,CZE,CHN,USA,USA,ESP,RUS,CHN,USA,HUN,AUT,NLD,BGR,ESP,USA,VNM,PER,DEU,JPN,POL,IND,EGY,CHN,ITA,USA,ARG,ITA,ITA,MEX,IRL,KOR,TUR,IND,IDN,IND,CAN,CHN,RUS,BGR,AUS,TUN,DEU,ZAF,MEX,TUR,CHN,ROU,DOM,IND,IND,BEL,FRA,THA,EGY,PRT,SAU,MAR,IDN,BHR,VNM,USA,PHL,CHN,NZL,KHM,TUN,JOR,CAN,ARE,UKR,QAT,ITA,BRA,AUS,USA,SAU,NZL,DEU,AZE,BRA,ZWE,IND,CHN
1,16.61959621,26.91595241,21.62767369,5.58857557,16.61959621,26.15248842,-8.665359106,-3.530654422,3.903548076,5.787683859,3.903548076,8.573927598,17.56820975,-8.665359106,21.62767369,13.74797809,21.62767369,18.1659179,-0.089212811,-8.665359106,-3.530654422,-3.530654422,10.74624845,-23.46145964,-8.665359106,-3.530654422,0.077183723,0.147903739,3.968245059,2.69509152,10.74624845,-3.530654422,18.85778118,22.1836282,1.480837849,5.848777398,-0.74136183,15.96859441,13.13740554,-8.665359106,8.573927598,-3.530654422,20.63624099,8.573927598,8.573927598,16.19067221,6.556644576,2.026339803,3.903548076,15.96859441,27.42549667,15.96859441,-20.56208662,-8.665359106,-23.46145964,2.69509152,27.33883542,11.89627771,1.480837849,23.00862589,16.19067221,3.903548076,-8.665359106,0.468310983,25.25770914,15.96859441,15.96859441,4.178563617,5.787683859,21.62767369,13.13740554,12.94660919,13.74797809,11.35706564,27.42549667,16.07763563,18.85778118,-3.530654422,26.28893607,-8.665359106,15.85181587,23.62183238,11.89627771,7.92804282,-20.56208662,17.56820975,-1.756532474,16.61022486,8.573927598,26.27479812,27.33883542,-3.530654422,13.74797809,15.85181587,1.480837849,1.792660701,26.27479812,24.55591856,15.96859441,-8.665359106
2,18.29372406,26.94782693,23.97414886,5.607253941,18.29372406,26.29823905,-5.657774274,-2.334051373,4.79617889,6.339710946,4.79617889,8.871068537,20.01898318,-5.657774274,23.97414886,16.45789778,23.97414886,18.79342978,0.575746567,-5.657774274,-2.334051373,-2.334051373,11.2593465,-22.38556992,-5.657774274,-2.334051373,1.052831513,0.939445694,4.060233603,3.631904057,11.2593465,-2.334051373,20.72985395,22.33590092,1.875518908,6.044690254,-0.334126367,18.29149504,15.0095016,-5.657774274,8.871068537,-2.334051373,20.19102033,8.871068537,8.871068537,17.22210459,6.530940192,2.93977642,4.79617889,18.29149504,27.40476698,18.29149504,-20.45295423,-5.657774274,-22.38556992,3.631904057,26.78120234,13.03578563,1.875518908,22.82590814,17.22210459,4.79617889,-5.657774274,1.361527143,25.02219118,18.29149504,18.29149504,4.53815769,6.339710946,23.97414886,15.0095016,13.00258239,16.45789778,13.15895936,27.40476698,18.3587265,20.72985395,-2.334051373,26.26790288,-5.657774274,16.23134695,25.29812742,13.03578563,10.1862656,-20.45295423,20.01898318,-1.096211865,18.98070744,8.871068537,26.2850414,26.78120234,-2.334051373,16.45789778,16.23134695,1.875518908,2.863929749,26.2850414,24.15247359,18.29149504,-5.657774274
3,21.29613931,27.5619921,27.16499525,6.35584307,21.29613931,26.85567076,0.286965091,1.119519519,7.452350588,7.737647878,7.452350588,10.13403676,24.65691765,0.286965091,27.16499525,21.01089488,27.16499525,20.84065592,2.975709824,0.286965091,1.119519519,1.119519519,12.38536369,-16.40568031,0.286965091,1.119519519,3.896651677,3.275607716,5.173452105,6.4045684,12.38536369,1.119519519,23.91034712,22.24728008,3.632500403,8.434525999,2.161524092,22.0124933,18.55552735,0.286965091,10.13403676,1.119519519,18.00636896,10.13403676,10.13403676,19.3363583,7.163263185,6.566564015,7.452350588,22.0124933,27.6325085,22.0124933,-15.85239509,0.286965091,-16.40568031,6.4045684,25.36238255,15.30855753,3.632500403,21.72488403,19.3363583,7.452350588,0.286965091,4.381659299,25.16265651,22.0124933,22.0124933,5.917069753,7.737647878,27.16499525,18.55552735,13.57418146,21.01089488,15.79462193,27.6325085,22.44467054,23.91034712,1.119519519,26.9853446,0.286965091,15.42238695,27.68348737,15.30855753,14.35284315,-15.85239509,24.65691765,2.494590417,23.28808975,10.13403676,26.06975714,25.36238255,1.119519519,21.01089488,15.42238695,3.632500403,5.890084006,26.06975714,23.59045144,22.0124933,0.286965091
4,24.28719657,28.26428877,28.96647208,8.051502685,24.28719657,27.33476764,6.725093384,6.294055107,11.36200422,10.06328077,11.36200422,12.30785214,29.65890534,6.725093384,28.96647208,25.55639362,28.96647208,23.34527388,7.048261854,6.725093384,6.294055107,6.294055107,13.97217421,-7.433956774,6.725093384,6.294055107,8.27150849,7.050096883,7.668090353,10.58304215,13.97217421,6.294055107,26.52138696,21.87684945,6.971123123,12.02656484,6.67505016,25.71869826,22.32376334,6.725093384,12.30785214,6.294055107,14.38979622,12.30785214,12.30785214,22.05010397,8.641095979,10.97090054,11.36200422,25.71869826,27.83129183,25.71869826,-7.564932504,6.725093384,-7.433956774,10.58304215,22.69638939,17.91380998,6.971123123,19.17067274,22.05010397,11.36200422,6.725093384,9.081943767,25.62937964,25.71869826,25.71869826,8.565423875,10.06328077,28.96647208,22.32376334,14.60360617,25.55639362,18.46041461,27.83129183,26.78942108,26.52138696,6.294055107,27.89650995,6.725093384,13.82486324,28.89866823,17.91380998,18.99843426,-7.564932504,29.65890534,8.242839953,27.85660171,12.30785214,25.39145122,22.69638939,6.294055107,25.55639362,13.82486324,6.971123123,10.07699783,25.39145122,22.23302112,25.71869826,6.725093384
5,26.46875,28.68694305,28.63556819,10.45931505,26.46875,27.59574795,12.27025994,11.81646268,15.98704644,13.2733799,15.98704644,15.50541277,33.86025876,12.27025994,28.63556819,29.5920495,28.63556819,25.68469493,12.05084543,12.27025994,11.81646268,11.81646268,16.4220656,2.247885963,12.27025994,11.81646268,13.40510218,11.79033354,11.10276483,15.48514884,16.4220656,11.81646268,27.37704263,21.00167776,11.25874923,15.74579233,12.09994464,28.04191825,26.01569172,12.27025994,15.50541277,11.81646268,10.73938587,15.50541277,15.50541277,24.37969455,10.7770913,15.29579735,15.98704644,28.04191825,27.85513014,28.04191825,1.194310623,12.27025994,2.247885963,15.48514884,19.17682043,21.26918944,11.25874923,15.62711575,24.37969455,15.98704644,12.27025994,14.43359368,26.25974655,28.04191825,28.04191825,12.04049646,13.2733799,28.63556819,26.01569172,16.41271015,29.5920495,21.56722178,27.85513014,31.16311318,27.37704263,11.81646268,28.46307193,12.27025994,12.09744099,28.54949875,21.26918944,23.76083592,1.194310623,33.86025876,14.52523657,32.19228908,15.50541277,24.24641042,19.17682043,11.81646268,29.5920495,12.09744099,11.25874923,14.96685097,24.24641042,19.66959626,28.04191825,12.27025994
6,27.6194676,28.62384796,27.25831517,13.19449947,27.6194676,27.48757551,16.70597389,16.48454333,20.69589136,16.96145584,20.69589136,19.33423088,37.08483295,16.70597389,27.25831517,32.97368243,27.25831517,27.2574392,16.21018268,16.70597389,16.48454333,16.48454333,19.6820755,9.919739121,16.70597389,16.48454333,17.86004857,16.03644809,14.55585153,20.27273873,19.6820755,16.48454333,27.1201888,20.20228879,15.11472517,19.22530867,16.4523135,28.32595608,29.18780467,16.70597389,19.33423088,16.48454333,8.333221404,19.33423088,19.33423088,25.94688677,13.26187597,19.2185906,20.69589136,28.32595608,27.59853522,28.32595608,7.6558227,16.70597389,9.919739121,20.27273873,16.29747338,24.9959358,15.11472517,13.05567596,25.94688677,20.69589136,16.70597389,19.11430308,26.91311282,28.32595608,28.32595608,15.60668291,16.96145584,27.25831517,29.18780467,18.96964365,32.97368243,24.86634729,27.59853522,35.12539455,27.1201888,16.48454333,28.45659109,16.70597389,10.70227985,27.54285976,24.9959358,28.18379165,7.6558227,37.08483295,19.57394565,35.91043663,19.33423088,23.16392885,16.29747338,16.48454333,32.97368243,10.70227985,15.11472517,19.86317008,23.16392885,17.4909683,28.32595608,16.70597389
7,27.88204847,28.34162249,26.45912602,14.93854204,27.88204847,27.22051917,18.84104784,18.99561036,24.10442045,19.45625616,24.10442045,22.29422015,37.85134623,18.84104784,26.45912602,34.09706486,26.45912602,27.93995176,18.28990827,18.84104784,18.99561036,18.99561036,22.44435731,12.65820084,18.84104784,18.99561036,20.38974885,18.3025153,16.69351414,23.44882475,22.44435731,18.99561036,26.68379843,20.42400514,17.1545899,21.94165699,18.65902008,26.84497804,30.53836419,18.84104784,22.29422015,18.99561036,7.831360282,22.29422015,22.29422015,26.59381958,14.84721238,22.08221967,24.10442045,26.84497804,27.26231979,26.84497804,10.47015763,18.84104784,12.65820084,23.44882475,15.54521996,27.54440274,17.1545899,12.50333594,26.59381958,24.10442045,18.84104784,21.9746327,27.51713308,26.84497804,26.84497804,17.73049454,19.45625616,26.45912602,30.53836419,21.33812262,34.09706486,27.69027715,27.26231979,36.8744703,26.68379843,18.99561036,28.14210506,18.84104784,9.987822747,26.93350863,27.54440274,30.41311552,10.47015763,37.85134623,22.55740419,37.41296986,22.29422015,23.32974716,15.54521996,18.99561036,34.09706486,9.987822747,17.1545899,23.51896123,23.32974716,17.26398952,26.84497804,18.84104784
8,27.75855582,28.17697579,26.2000936,14.71864467,27.75855582,27.14922783,17.40889295,18.23537427,24.07082433,19.04563247,24.07082433,22.49786384,36.81662299,17.40889295,26.2000936,33.34510183,26.2000936,27.94124912,16.97964332,17.40889295,18.23537427,18.23537427,22.59418699,9.904486569,17.40889295,18.23537427,19.3784068,17.1650129,16.33986337,22.99666023,22.59418699,18.23537427,26.3273265,22.14323162,16.19491773,22.95813355,17.35680426,25.81076442,30.30517416,17.40889295,22.49786384,18.23537427,9.091245211,22.49786384,22.49786384,26.54900484,14.6920493,23.03068829,24.07082433,25.81076442,27.18175566,25.81076442,8.462096291,17.40889295,9.904486569,22.99666023,17.1976202,27.500511,16.19491773,14.26343759,26.54900484,24.07082433,17.40889295,21.2424687,27.92688279,25.81076442,25.81076442,17.09722119,19.04563247,26.2000936,30.30517416,21.94951155,33.34510183,27.56954869,27.18175566,36.35221209,26.3273265,18.23537427,28.07162132,17.40889295,10.05101005,26.7256134,27.500511,30.06256726,8.462096291,36.81662299,21.50175784,36.73804774,22.49786384,25.23940475,17.1976202,18.23537427,33.34510183,10.05101005,16.19491773,23.13679881,25.23940475,19.62357616,25.81076442,17.40889295
9,26.97881426,28.13455091,25.84593205,12.91437705,26.97881426,27.13034877,12.58041286,14.1320213,19.59108588,16.01005815,19.59108588,19.56023109,34.2057534,12.58041286,25.84593205,30.60021077,25.84593205,27.16003182,12.78862217,12.58041286,14.1320213,14.1320213,20.38859393,3.549043056,12.58041286,14.1320213,14.4608875,12.95562596,13.80272534,17.8199531,20.38859393,14.1320213,25.43215638,23.14897004,12.81096033,21.14422149,12.94494562,24.73577666,27.76172302,12.58041286,19.56023109,14.1320213,11.36181881,19.56023109,19.56023109,25.26520489,13.19883864,20.53976195,19.59108588,24.73577666,27.32857886,24.73577666,3.081511995,12.58041286,3.549043056,17.8199531,20.24854255,24.65028801,12.81096033,17.22992517,25.26520489,19.59108588,12.58041286,16.02832177,27.96348953,24.73577666,24.73577666,14.18376977,16.01005815,25.84593205,27.76172302,20.78690377,30.60021077,24.69601326,27.32857886,33.58822959,25.43215638,14.1320213,28.04847172,12.58041286,10.64856887,26.50313993,24.65028801,26.29928589,3.081511995,34.2057534,15.64104035,33.98948533,19.56023109,27.33814533,20.24854255,14.1320213,30.60021077,10.64856887,12.81096033,18.39077204,27.33814533,23.91666324,24.73577666,12.58041286
10,24.74418749,28.06696102,24.88282567,10.17421509,24.74418749,27.0165319,5.991077574,8.23800793,14.12683932,11.97517791,14.12683932,15.71509748,29.44754558,5.991077574,24.88282567,25.89553801,24.88282567,25.12379056,7.982915606,5.991077574,8.23800793,8.23800793,16.80793931,-4.930640678,5.991077574,8.23800793,9.057589395,8.135960567,10.2705866,12.06153692,16.80793931,8.23800793,23.75940259,22.96118807,8.59993842,16.79420692,7.987360152,22.54438253,23.74871099,5.991077574,15.71509748,8.23800793,14.03504552,15.71509748,15.71509748,22.63258179,10.76572309,15.48513889,14.12683932,22.54438253,27.559672,22.54438253,-3.66902838,5.991077574,-4.930640678,12.06153692,23.44515479,20.46911638,8.59993842,19.7197458,22.63258179,14.12683932,5.991077574,10.25386251,27.56392797,22.54438253,22.54438253,10.29090336,11.97517791,24.88282567,23.74871099,18.07365083,25.89553801,20.07203015,27.559672,28.82926941,23.75940259,8.23800793,27.87263267,5.991077574,11.42513738,26.02085669,20.46911638,20.66949229,-3.66902838,29.44754558,9.332749814,29.19922774,15.71509748,27.95514055,23.44515479,8.23800793,25.89553801,11.42513738,8.59993842,12.84786522,27.95514055,26.75399767,22.54438253,5.991077574
